,Club,ID,Nationality,Overall,Potential,Special,Value,Wage,name
3270,Sporting CP,235512,Angola,73,84,1791,7000000.0,14000.0,Gelson Dala
3271,Queens Park Rangers,193528,Guinea,73,76,1756,5000000.0,31000.0,I. Sylla
3272,Zenit St. Petersburg,148217,Russia,73,73,1842,1100000.0,47000.0,A. Anyukov
3273,KAA Gent,220921,Nigeria,73,78,1763,4500000.0,17000.0,A. Esiti
3274,Vitória Setúbal,164857,Portugal,73,73,1721,2100000.0,10000.0,Edinho
3275,Fluminense Football Club,230393,Brazil,73,73,1526,3500000.0,30000.0,Paolito Serra
3276,Vercelli,178425,Italy,73,73,1882,550000.0,3000.0,G. Vives
3277,FC Nantes,198394,Sweden,73,74,1784,4800000.0,22000.0,A. Kačaniklić
3278,Terek Grozny,217082,Venezuela,73,79,1490,4700000.0,25000.0,W. Ángel
3279,Colo-Colo,159994,Chile,73,73,1906,3500000.0,7000.0,B. Leitoñez
3280,Getafe CF,189690,Spain,73,73,1301,2600000.0,17000.0,Guaita
3281,Swansea City,202491,England,73,78,1786,5000000.0,55000.0,T. Carroll
3282,West Ham United,208892,England,73,78,1925,4500000.0,60000.0,S. Byram
3283,Cruz Azul,215292,Uruguay,73,73,1862,3900000.0,32000.0,M. Cauteruccio
3284,Śląsk Wrocław,176636,Czech Republic,73,73,1965,3700000.0,9000.0,K. Vacek
3285,Grupo Desportivo de Chaves,178684,Portugal,73,73,1701,2700000.0,9000.0,Nuno André Coelho
3286,Águilas Doradas,187644,Argentina,73,73,1815,3800000.0,3000.0,C. Maidana
3287,Club América,214781,Argentina,73,73,1836,4099999.9999999995,55000.0,S. Romero
3288,Monterrey,225021,Paraguay,73,77,1734,5500000.0,46000.0,J. Benítez
3289,Middlesbrough,54013,England,73,73,1850,3100000.0,19000.0,S. Downing
3290,ADO Den Haag,188157,Netherlands,73,73,1920,3400000.0,13000.0,L. Immers
3291,Atlanta United FC,188413,Chile,73,73,1957,3000000.0,8000.0,C. Carmona
3292,Molde FK,190461,Iceland,73,76,1900,5000000.0,9000.0,B. Sigurðarson
3293,FC Metz,218623,Portugal,73,78,1961,4500000.0,12000.0,Cafú
3294,Cagliari,220671,Italy,73,73,1661,3900000.0,50000.0,F. Melchiorri
3295,Grêmio Foot-Ball Porto Alegrense,230399,Brazil,73,73,1715,1600000.0,21000.0,Michildo Melo
3296,Estudiantes de La Plata,240896,Ecuador,72,80,1762,4600000.0,11000.0,C. Alemán
3297,Feyenoord,220673,Peru,72,78,1961,4200000.0,9000.0,R. Tapia
3298,Real Sporting de Gijón,198146,Serbia,72,73,1734,3600000.0,17000.0,S. Šćepović
3299,AZ Alkmaar,198658,Norway,72,79,1947,4300000.0,7000.0,F. Midtsjø
3300,Dijon FCO,210434,Morocco,72,72,1834,2200000.0,13000.0,F. Chafik
3301,Everton de Viña del Mar,160002,Chile,72,72,1762,3400000.0,4000.0,O. Jonia
3302,Beşiktaş JK,188674,Turkey,72,72,1930,3200000.0,35000.0,M. Pektemek
3303,Athletic Club de Bilbao,146947,Spain,72,77,1774,3500000.0,13000.0,Vesga
3304,Levante UD,222467,Spain,72,79,1850,4400000.0,14000.0,Ivi
3305,FC Metz,180739,Japan,72,72,1175,1300000.0,8000.0,E. Kawashima
3306,Benevento Calcio,201220,Albania,72,72,1939,2900000.0,4000.0,L. Memushaj
3307,Valencia CF,219652,Spain,72,78,1830,4300000.0,17000.0,Rober Ibáñez
3308,Unión Española,160004,Chile,72,72,1800,3400000.0,5000.0,M. Echeberria
3309,Asociacion Deportivo Cali,176900,Colombia,72,72,1724,0.0,2000.0,M. Candelo
3310,Bayer 04 Leverkusen,220165,Finland,72,78,1671,4300000.0,30000.0,J. Pohjanpalo
3311,Beşiktaş JK,223749,Turkey,72,79,1757,4400000.0,24000.0,O. Çınar
3312,Fulham,185349,Belgium,72,72,1942,2400000.0,29000.0,D. Odoi
3313,AEK Athens,193029,Sweden,72,72,1824,3200000.0,1000.0,A. Ajdarević
3314,RC Strasbourg,200966,France,72,72,1909,2900000.0,17000.0,B. Corgnet
3315,Pescara,203782,Libya,72,75,1842,3900000.0,4000.0,A. Benali
3316,Sagan Tosu,204550,Colombia,72,72,1839,3300000.0,5000.0,V. Ibarbo
3317,Al Hilal,210182,Saudi Arabia,72,75,1620,3200000.0,24000.0,M. Jahfali
3318,Toulouse FC,222982,France,72,83,1834,4700000.0,14000.0,A. Blin
3319,Aston Villa,162054,England,72,72,1240,1800000.0,19000.0,M. Bunn
3320,CD Leganés,201991,Spain,72,76,1739,3300000.0,15000.0,Erik Morán
3321,IF Elfsborg,138247,Denmark,72,72,1131,1300000.0,4000.0,K. Stuhr-Ellegaard
3322,Huddersfield Town,203783,England,72,76,1761,3300000.0,27000.0,T. Smith
3323,Palermo,210695,Norway,72,74,1820,3100000.0,3000.0,H. Aleesami
3324,Sporting CP,212231,Portugal,72,78,1532,3600000.0,9000.0,Tobias Figueiredo
3325,Botafogo de Futebol e Regatas,230407,Brazil,72,72,1708,2400000.0,13000.0,Miltisco Paulino
3326,Genoa,233223,Croatia,72,81,1894,4800000.0,18000.0,P. Brlek
3327,Necaxa,176903,Chile,72,72,1807,1300000.0,10000.0,M. Iturra
3328,Kaizer Chiefs,190471,South Africa,72,72,1859,2800000.0,1000.0,B. Parker
3329,Kasimpaşa SK,207624,Nigeria,72,79,1625,3700000.0,48000.0,K. Omeruo
3330,Banfield,223240,Argentina,72,78,1730,3600000.0,9000.0,G. Bettini
3331,Deportes Iquique,160008,Chile,72,72,1748,3400000.0,3000.0,L. Parreses
3332,Bari,34824,Italy,72,72,1834,1600000.0,14000.0,A. Floro Flores
3333,CD Numancia,146953,Spain,72,72,1760,2000000.0,8000.0,Manu Del Moral
3334,Colorado Rapids,177673,Albania,72,72,2012,3100000.0,7000.0,S. Gashi
3335,Crotone,149258,Italy,72,72,923,1300000.0,7000.0,A. Cordaz
3336,Rayo Vallecano,138507,Spain,72,72,1222,210000.0,4000.0,Toño
3337,AC Ajaccio,50955,France,72,72,1901,1400000.0,4000.0,J. Cavalli
3338,Independiente,215309,Argentina,72,75,1762,3900000.0,16000.0,L. Albertengo
3339,FC Metz,223245,Argentina,72,80,1815,4600000.0,13000.0,B. Fernández
3340,Sparta Praha,168974,Czech Republic,72,72,1838,1400000.0,1000.0,D. Lafata
3341,Strømsgodset IF,197391,Norway,72,72,1993,2500000.0,4000.0,L. Vilsvik
3342,Sporting Kansas City,200463,United States,72,72,1145,1900000.0,5000.0,T. Melia
3343,Estudiantes de La Plata,143119,Argentina,72,72,1763,1400000.0,10000.0,M. Pavone
3344,Al Ahli,213007,Saudi Arabia,72,80,1786,4600000.0,23000.0,A. Aseri
3345,Yokohama F. Marinos,222991,Japan,72,72,1714,3300000.0,8000.0,M. Saito
3346,Real Salt Lake,36111,United States,72,72,1853,725000.0,4000.0,K. Beckerman
3347,Swansea City,183567,Netherlands,72,73,1193,2500000.0,32000.0,E. Mulder
3348,Hannover 96,212240,Turkey,72,76,1721,4099999.9999999995,23000.0,K. Karaman
3349,Wolverhampton Wanderers,163600,England,72,72,1090,2000000.0,25000.0,J. Ruddy
3350,Torino,230672,Brazil,72,82,1545,4400000.0,19000.0,Lyanco
3351,SV Werder Bremen,203793,United States,72,75,1746,3900000.0,21000.0,A. Jóhannsson
3352,CA Osasuna,215569,Spain,72,77,1711,3500000.0,6000.0,Unai Garcia
3353,SM Caen,205330,Haiti,72,77,1990,4200000.0,14000.0,J. Louis
3354,FC Rostov,187666,Russia,72,73,1193,2500000.0,18000.0,S. Pesyakov
3355,Gençlerbirliği SK,225555,Turkey,72,76,1987,3400000.0,10000.0,A. Oğuz
3356,Girona CF,225811,Colombia,72,81,1675,4800000.0,51000.0,M. Moreno
3357,Club Atlético Lanús,215060,Argentina,72,72,1985,3300000.0,12000.0,N. Aguirre
3358,Vitesse,181780,Slovenia,72,72,1684,3200000.0,10000.0,T. Matavž
3359,Avaí Futebol Clube,230421,Brazil,72,72,1810,1300000.0,11000.0,Otávinho Vila
3360,SC Heerenveen,189717,Iran,72,72,1766,3100000.0,9000.0,R. Ghoochannejhad
3361,FC Twente,135190,Austria,72,72,1905,2700000.0,8000.0,M. Liendl
3362,Cardiff City,189462,Canada,72,72,1844,3300000.0,21000.0,J. Hoilett
3363,Deportes Iquique,160023,Chile,72,72,1723,1200000.0,3000.0,L. Muñezal
3364,Rubin Kazan,187415,Russia,72,72,1760,2300000.0,26000.0,V. Granat
3365,,186648,Hungary,72,72,1720,0.0,0.0,T. Kádár
3366,FC Groningen,208153,South Africa,72,74,1681,3900000.0,10000.0,L. Veldwijk
3367,VfL Bochum,164633,Germany,72,72,1858,1800000.0,13000.0,T. Hoogland
3368,Sport Club do Recife,230425,Brazil,72,72,1900,2400000.0,12000.0,Rubem Esteiro
3369,Panathinaikos FC,240409,Greece,72,75,1597,3300000.0,1000.0,D. Kolovetsios
3370,Cremonese,175897,Kosovo,72,72,1121,2200000.0,3000.0,S. Ujkani
3371,FC Sochaux-Montbéliard,183833,Madagascar,72,72,1772,2000000.0,8000.0,I. Andriatsima
3372,FC St. Pauli,206106,Turkey,72,77,1766,4200000.0,12000.0,E. Şahin
3373,Al Nassr,208923,Saudi Arabia,72,73,1990,3000000.0,24000.0,I. Ghaleb
3374,Jeju United FC,221467,Korea Republic,72,79,1822,4300000.0,5000.0,Lee Chang Min
3375,Real Madrid CF,228635,Spain,72,84,1612,5500000.0,68000.0,Borja Mayoral
3376,Leicester City,186139,England,72,75,1894,3800000.0,39000.0,M. James
3377,Kayserispor,186651,Turkey,72,72,2005,3000000.0,12000.0,G. Vural
3378,Göztepe,143644,Turkey,72,72,1874,425000.0,9000.0,S. Şahin
3379,Levante UD,224540,Ghana,72,80,1832,4700000.0,14000.0,E. Boateng
3380,FC Rostov,166940,Moldova,72,72,1940,1800000.0,23000.0,A. Gaţcan
3381,Reading,207645,Gambia,72,76,1761,4099999.9999999995,23000.0,M. Barrow
3382,Santos Futebol Clube,230429,Brazil,72,72,1725,1300000.0,12000.0,Timo Triano
3383,Aston Villa,191005,Egypt,72,72,2000,2400000.0,24000.0,A. Elmohamady
3384,SC Freiburg,194333,Poland,72,72,1058,2100000.0,14000.0,R. Gikiewicz
3385,CF Os Belenenses,205598,Portugal,72,72,1934,3300000.0,6000.0,André Sousa
3386,Independiente,220702,Uruguay,72,77,1788,3500000.0,12000.0,G. Silva
3387,Universidad de Chile,160030,Chile,72,72,1767,1200000.0,9000.0,G. Naballoz
3388,Middlesbrough,194334,Spain,72,72,1629,2700000.0,12000.0,Daniel Ayala
3389,Racing Club de Avellaneda,219167,Argentina,72,73,1832,2800000.0,13000.0,S. Vittor
3390,Fulham,186143,Northern Ireland,72,75,1968,3200000.0,29000.0,O. Norwood
3391,Everton de Viña del Mar,160032,Chile,72,72,1887,2700000.0,3000.0,J. Senparabia
3392,SC Heerenveen,232736,Japan,72,76,1835,3900000.0,8000.0,Y. Kobayashi
3393,CA Osasuna,189472,Spain,72,74,1641,2900000.0,8000.0,Aridane
3394,Kaizer Chiefs,205857,South Africa,72,74,1540,3000000.0,1000.0,E. Mathoho
3395,AJ Auxerre,209698,Mali,72,76,1705,3400000.0,6000.0,B. Touré
3396,Botafogo de Futebol e Regatas,230434,Brazil,72,72,1864,2400000.0,13000.0,Pimentiscinho
3397,VfB Stuttgart,226851,France,72,80,1811,3900000.0,12000.0,B. Pavard
3398,AS Nancy Lorraine,53027,Tunisia,72,72,1650,725000.0,4000.0,A. Yahia
3399,Lechia Gdańsk,194083,Portugal,72,72,1735,2500000.0,8000.0,Marco Paixão
3400,Sassuolo,223524,Italy,72,79,1475,3700000.0,26000.0,E. Goldaniga
3401,Olympique de Marseille,150565,Cameroon,72,72,1939,1200000.0,18000.0,H. Bedimo
3402,Atalanta,222501,Belgium,72,79,1736,3700000.0,13000.0,T. Castagne
3403,Piast Gliwice,182053,Estonia,72,72,1885,2400000.0,7000.0,K. Vassiljev
3404,Estoril Praia,216102,Portugal,72,74,1779,3800000.0,8000.0,André Claro
3405,SC Heerenveen,240166,Serbia,72,79,1671,4400000.0,7000.0,N. Mihajlović
3406,Feyenoord,184614,Netherlands,72,72,1665,3200000.0,13000.0,M. Kramer
3407,Levante UD,157479,Spain,72,72,1933,1200000.0,15000.0,Pedro López
3408,FC Lorient,199464,France,72,76,1691,3400000.0,6000.0,L. Rose
3409,Rosenborg BK,183336,Norway,72,72,1898,3300000.0,7000.0,P. Helland
3410,Sparta Praha,189480,Czech Republic,72,72,1821,3300000.0,1000.0,J. Šural
3411,SD Huesca,193064,Spain,72,72,1601,2100000.0,6000.0,Carlos David
3412,CD Los Millionarios Bogota,204841,Colombia,72,72,1800,2800000.0,4000.0,D. Riascos
3413,Club Atlético Lanús,207657,Argentina,72,77,1876,4099999.9999999995,12000.0,F. Barrientos
3414,Legia Warszawa,159017,Finland,72,72,1830,2900000.0,8000.0,K. Hämäläinen
3415,CD Universidad de Concepción,160041,Chile,72,72,1860,1200000.0,4000.0,J. Oyarcan
3416,Huddersfield Town,201514,DR Congo,72,75,1860,3900000.0,30000.0,E. Kachunga
3417,CD Aves,219690,Brazil,72,72,1511,1300000.0,9000.0,Diego Galo
3418,LOSC Lille,220715,Argentina,72,80,1721,4700000.0,32000.0,E. Ponce
3419,Deportes Iquique,160043,Chile,72,72,2037,2700000.0,3000.0,A. Candelo
3420,Sassuolo,106795,Italy,72,72,1117,425000.0,16000.0,G. Pegolo
3421,Clube Atlético Mineiro,234028,Brazil,72,72,1772,3100000.0,26000.0,Rômulo Calsede
3422,CD Huachipato,160045,Chile,72,72,1828,1200000.0,6000.0,S. Ricuelme
3423,Real Oviedo,183853,Spain,72,72,1910,3100000.0,8000.0,Aarón Ñíguez
3424,Independiente Santa Fe,227886,Colombia,72,75,1676,3900000.0,4000.0,D. Buitrago
3425,FK Austria Wien,52270,Germany,72,72,1628,1300000.0,15000.0,H. Westermann
3426,FC Zürich,209711,Denmark,72,72,1538,2800000.0,10000.0,R. Thelander
3427,Heart of Midlothian,156975,Scotland,72,72,1489,1800000.0,6000.0,C. Berra
3428,F.C. Tokyo,151856,Nigeria,72,72,1828,2000000.0,11000.0,P. Utaka
3429,Coritiba Foot Ball Club,230448,Brazil,72,72,1922,2400000.0,15000.0,Porphirinho
3430,Sheffield Wednesday,184624,Scotland,72,72,1738,3300000.0,40000.0,J. Rhodes
3431,Atlético Tucumán,204337,Argentina,72,72,1824,3000000.0,9000.0,G. Núñez
3432,Rayo Vallecano,219953,Spain,72,75,1847,3900000.0,8000.0,Embarba
3433,Newcastle United,222513,England,72,79,1686,4400000.0,32000.0,R. Aarons
3434,FC Paços de Ferreira,226865,Brazil,72,77,1678,3500000.0,6000.0,Bruno Santos
3435,Genoa,190769,Italy,72,74,1108,2500000.0,16000.0,E. Lamanna
3436,FC København,201266,Denmark,72,73,1828,3700000.0,15000.0,K. Kusk
3437,Independiente Santa Fe,139058,Argentina,72,72,1826,1000000.0,3000.0,O. Pérez
3438,Reading,211506,England,72,78,1944,4200000.0,21000.0,J. Swift
3439,CD Huachipato,160050,Chile,72,72,1597,2400000.0,6000.0,F. Iturrado
3440,Rio Ave FC,227890,Portugal,72,79,1839,4400000.0,7000.0,Nuno Santos
3441,BK Häcken,45874,Sweden,72,72,1903,1800000.0,4000.0,A. Farnerud
3442,Eintracht Braunschweig,189490,Germany,72,72,2020,2900000.0,17000.0,M. Boland
3443,En Avant de Guingamp,202035,France,72,73,1737,3700000.0,17000.0,N. Benezet
3444,FC Utrecht,202547,France,72,75,1831,4000000.0,42000.0,J. Bahebeck
3445,Seattle Sounders FC,152883,United States,72,72,1666,1800000.0,6000.0,C. Marshall
3446,Bristol City,189235,Germany,72,72,1918,2400000.0,29000.0,J. Hegeler
3447,RC Deportivo de La Coruña,146996,Spain,72,72,1181,1600000.0,12000.0,Rubén
3448,Genoa,159284,Italy,72,72,1677,1900000.0,23000.0,R. Palladino
3449,Grêmio Foot-Ball Porto Alegrense,230452,Brazil,72,72,1834,1300000.0,15000.0,Alessinito
3450,FC Nantes,190516,Belgium,72,72,1812,3300000.0,17000.0,Y. El Ghanassy
3451,Getafe CF,193844,Spain,72,73,1869,3600000.0,16000.0,Portillo
3452,SD Eibar,224309,Spain,72,77,1846,4099999.9999999995,12000.0,Joan Jordán
3453,FC Anzhi Makhachkala,179509,France,72,72,1545,2100000.0,15000.0,T. Phibel
3454,Audax Italiano,160054,Chile,72,72,1615,1300000.0,4000.0,E. Cubildas
3455,Racing Club de Avellaneda,231478,Argentina,72,88,1720,6500000.0,9000.0,L. Martínez
3456,Girondins de Bordeaux,223543,Brazil,72,73,1666,3700000.0,28000.0,Jonathan Cafú
3457,Club de Deportes Temuco,160055,Chile,72,72,1672,2800000.0,3000.0,R. Latorres
3458,SD Huesca,227127,Spain,72,82,1172,3800000.0,10000.0,Álex Remiro
3459,Nottingham Forest,171831,England,72,72,1696,2400000.0,20000.0,M. Mancienne
3460,Colon de Santa Fe,226616,Argentina,72,78,1793,3600000.0,8000.0,J. Galván
3461,Cagliari,201529,Italy,72,76,1609,3400000.0,28000.0,M. Capuano
3462,Atletico Nacional Medellin,206649,Colombia,72,72,1373,950000.0,4000.0,A. Henríquez
3463,Derby County,211513,Wales,72,78,1808,4300000.0,32000.0,T. Lawrence
3464,Hannover 96,158777,Germany,72,72,1097,1900000.0,19000.0,P. Tschauner
3465,Guadalajara,187705,Mexico,72,72,1907,2200000.0,32000.0,E. Hernández
3466,Granada CF,193081,France,72,73,1614,2900000.0,7000.0,M. Saunier
3467,Urawa Red Diamonds,191547,Japan,72,72,1790,3000000.0,11000.0,S. Koroki
3468,Portimonense SC,199228,Portugal,72,72,1783,1100000.0,6000.0,Pires
3469,Medicana Sivasspor,139836,Algeria,72,72,1798,1800000.0,10000.0,C. Medjani
3470,Orlando Pirates,211260,South Africa,72,72,1850,2700000.0,1000.0,M. Makola
3471,Aston Villa,175932,Belgium,72,72,1776,2500000.0,24000.0,R. De Laet
3472,FC Metz,203581,Spain,72,77,1854,3400000.0,10000.0,Balliu
3473,Fortuna Düsseldorf,216381,Germany,72,76,1857,3400000.0,14000.0,J. Zimmer
3474,Stade Rennais FC,223293,Portugal,72,76,1833,3400000.0,13000.0,Afonso Figueiredo
3475,San Luis de Quillota,160061,Chile,72,72,1555,2400000.0,4000.0,N. Aguileda
3476,Royal Antwerp FC,226877,Portugal,72,78,1824,4300000.0,8000.0,Ivo Rodrigues
3477,Grêmio Foot-Ball Porto Alegrense,230461,Brazil,72,72,1809,3000000.0,17000.0,Leordinho Paes
3478,Racing Club de Avellaneda,215358,Argentina,72,76,1966,3900000.0,13000.0,M. Meli
3479,LOSC Lille,226110,Ivory Coast,72,80,1709,4600000.0,26000.0,N. Pépé
3480,Gimnàstic de Tarragona,215615,Spain,72,74,1860,3700000.0,8000.0,Maikel Mesa
3481,Deportes Iquique,160063,Chile,72,72,1638,2400000.0,3000.0,A. Perosas
3482,FC Augsburg,186687,Serbia,72,72,1914,2300000.0,16000.0,G. Kačar
3483,CD Once Caldas Manizales,208960,Colombia,72,72,2000,2300000.0,2000.0,H. Henao
3484,Getafe CF,234816,Argentina,72,73,1768,2800000.0,15000.0,N. Gorosito
3485,Colon de Santa Fe,188992,Paraguay,72,72,1981,3000000.0,10000.0,M. Estigarribia
3486,Göztepe,209473,Algeria,72,72,1768,3300000.0,14000.0,N. Ghilas
3487,Nottingham Forest,149825,Republic of Ireland,72,72,1779,1600000.0,22000.0,D. Murphy
3488,VfL Wolfsburg,231745,Belgium,72,84,1669,5500000.0,24000.0,L. Dimata
3489,Vitesse,202050,Netherlands,72,75,1937,3800000.0,9000.0,T. Bruns
3490,CD Aves,205122,Brazil,72,72,1091,1300000.0,7000.0,Adriano Facchini
3491,Al Taawoun,209218,Syria,72,72,1827,1600000.0,16000.0,J. Al Hussien
3492,New York City Football Club,211522,Peru,72,78,1588,3600000.0,6000.0,A. Callens
3493,CS Marítimo,226626,Portugal,72,73,1721,3700000.0,8000.0,Ricardo Valente
3494,FC Red Bull Salzburg,226627,Japan,72,79,1855,4400000.0,21000.0,T. Minamino
3495,Sociedade Esportiva Palmeiras,230211,Brazil,72,72,1674,1300000.0,21000.0,Vanderlei Cõembra
3496,Udinese,193091,Netherlands,72,73,1581,2900000.0,17000.0,B. Nuytinck
3497,Lech Poznań,201285,Denmark,72,73,1757,3600000.0,9000.0,C. Gytkjær
3498,Sangju Sangmu FC,199238,Korea Republic,72,72,1667,2500000.0,4000.0,Yun Young Sun
3499,Levante UD,213063,Spain,72,81,1708,4200000.0,13000.0,Róber
3500,Kardemir Karabükspor,155463,Romania,72,72,1775,2500000.0,11000.0,V. Găman
3501,Unión Española,160071,Chile,72,72,1708,2400000.0,4000.0,M. Arguinarena
3502,Norwich City,165191,England,72,72,1843,3000000.0,27000.0,C. Jerome
3503,,182343,China PR,72,72,1939,0.0,0.0,Hao Junmin
3504,Santos Laguna,223816,Uruguay,72,79,1881,4400000.0,15000.0,J. Rodríguez
3505,Club Atlético Huracán,226376,Argentina,72,82,1690,5000000.0,9000.0,A. Romero Gamarra
3506,FC Luzern,213321,Australia,72,75,1741,4000000.0,9000.0,T. Jurić
3507,Valencia CF,239433,Serbia,72,82,1801,4900000.0,17000.0,N. Maksimović
3508,Cesena,45129,Italy,72,72,1643,2000000.0,4000.0,D. Cacia
3509,TSG 1899 Hoffenheim,201290,Austria,72,75,1755,4000000.0,24000.0,R. Žulj
3510,CD Los Millionarios Bogota,209738,Colombia,72,72,1495,2100000.0,4000.0,A. Cadavid
3511,Córdoba CF,223818,Portugal,72,73,1519,2900000.0,7000.0,João Afonso
3512,Orlando City Soccer Club,162890,United States,72,72,1842,2100000.0,6000.0,J. Spector
3513,Napoli,231242,Algeria,72,82,1859,5000000.0,32000.0,A. Ounas
3514,Stoke City,170570,Republic of Ireland,72,72,1819,2900000.0,41000.0,S. Ireland
3515,Associação Atlética Ponte Preta,230219,Brazil,72,72,1623,2800000.0,11000.0,Estevão Candeira
3516,Cruz Azul,153164,Argentina,72,72,1852,2300000.0,19000.0,A. Faurlín
3517,Chacarita Juniors,158540,Argentina,72,72,1050,210000.0,5000.0,C. Campestrini
3518,RSC Anderlecht,186444,Tunisia,72,72,1672,2500000.0,17000.0,H. Harbaoui
3519,Rayo Vallecano,139597,Spain,72,72,1809,1400000.0,7000.0,Javi Guerra
3520,Cruz Azul,223053,Ecuador,72,72,1855,3000000.0,23000.0,A. Mena
3521,Deportivo Alavés,226637,Spain,72,78,1701,3600000.0,12000.0,Rubén Duarte
3522,AIK Solna,176717,Sweden,72,72,1633,2100000.0,7000.0,P. Karlsson
3523,Grêmio Foot-Ball Porto Alegrense,230478,Brazil,72,72,1789,3000000.0,17000.0,Jairinhazo
3524,Brøndby IF,198479,Finland,72,72,1477,2400000.0,14000.0,P. Arajuuri
3525,Cádiz C.F.,199247,Spain,72,77,1876,3500000.0,5000.0,Álex Fernández
3526,Toulouse FC,224591,France,72,79,1872,3700000.0,16000.0,Y. Bodiger
3527,Fluminense Football Club,230479,Brazil,72,72,1844,3000000.0,26000.0,Jessé Ledeiro
3528,CD Aves,189775,Portugal,72,72,1827,2300000.0,9000.0,Gonçalo
3529,RCD Espanyol,191055,Spain,72,72,1813,2500000.0,18000.0,Dídac Vilà
3530,FC Basel,199504,Albania,72,74,1957,3100000.0,23000.0,T. Xhaka
3531,Lech Poznań,210000,Poland,72,75,1979,3800000.0,8000.0,M. Gajos
3532,Getafe CF,155984,Spain,72,72,1931,2700000.0,19000.0,Markel Bergara
3533,Coritiba Foot Ball Club,236112,Brazil,72,72,1889,2700000.0,14000.0,Douglas Armeira
3534,CD Universidad de Concepción,160081,Chile,72,72,1810,1300000.0,4000.0,J. Rozalas
3535,Boca Juniors,226385,Argentina,72,82,1699,5000000.0,18000.0,C. Espinoza
3536,Akhisar Belediyespor,184401,Brazil,72,72,1789,3200000.0,15000.0,Paulo Henrique
3537,Club Atlas,234578,Mexico,72,75,1833,3200000.0,14000.0,L. Reyes
3538,AEK Athens,172882,Greece,72,72,1874,3000000.0,1000.0,P. Kone
3539,Asociacion Deportivo Cali,214355,Guatemala,72,72,1096,1900000.0,1000.0,R. Jérez
3540,Grupo Desportivo de Chaves,234835,Portugal,72,80,1517,3900000.0,9000.0,Domingos Duarte
3541,Śląsk Wrocław,176211,Poland,72,72,1731,1600000.0,7000.0,M. Robak
3542,Kasimpaşa SK,203604,Czech Republic,72,75,1920,3200000.0,10000.0,D. Pavelka
3543,Unión Española,160084,Chile,72,72,1900,2400000.0,4000.0,I. Bosquedo
3544,Santos Futebol Clube,230484,Brazil,72,72,1772,1900000.0,14000.0,Adrián Burnabão
3545,Rosario Central,202069,Argentina,72,72,1934,3000000.0,13000.0,J. Fernández
3546,Estudiantes de La Plata,142677,Argentina,72,72,1485,425000.0,8000.0,L. Desábato
3547,CD Universidad de Concepción,160085,Chile,72,72,1725,1300000.0,4000.0,D. Dueña
3548,Amiens SC Football,204886,France,72,81,1527,4200000.0,11000.0,P. Gouano
3549,Club América,225878,Paraguay,72,79,1827,4400000.0,30000.0,C. Domínguez
3550,Malmö FF,163670,Sweden,72,72,1852,1700000.0,5000.0,B. Safari
3551,Dijon FCO,199511,New Caledonia,72,72,1660,2400000.0,13000.0,W. Lautoa
3552,RC Strasbourg,215383,Senegal,72,76,1743,3400000.0,13000.0,A. Ndour
3553,Chelsea,215639,Brazil,72,81,1858,4800000.0,48000.0,Kenedy
3554,New York City Football Club,183895,Argentina,72,72,1929,2900000.0,7000.0,M. Moralez
3555,1. FC Kaiserslautern,216408,Lithuania,72,81,1690,4900000.0,11000.0,L. Spalvis
3556,Arsenal Tula,224600,Serbia,72,77,1909,4099999.9999999995,19000.0,G. Čaušić
3557,New York Red Bulls,184664,France,72,72,1636,2100000.0,6000.0,A. Collin
3558,Terek Grozny,213337,Brazil,72,79,1905,4300000.0,20000.0,Ismael
3559,Torino,222041,Argentina,72,82,1797,5000000.0,24000.0,L. Boyé
3560,1. FC Heidenheim,222553,Germany,72,73,1727,3000000.0,13000.0,S. Griesbeck
3561,Everton de Viña del Mar,160089,Chile,72,72,1864,2400000.0,4000.0,B. Cespeda
3562,Club Brugge KV,202330,Mali,72,73,1848,3700000.0,17000.0,A. Diaby
3563,Club Atlético Lanús,142938,Argentina,72,72,1677,1400000.0,10000.0,G. Denis
3564,Cagliari,205659,Italy,72,82,1111,3800000.0,20000.0,A. Cragno
3565,Gimnàstic de Tarragona,146011,Nigeria,72,72,1761,2000000.0,9000.0,I. Uche
3566,CPD Junior Barranquilla,176475,Paraguay,72,72,1725,2800000.0,4000.0,R. Ovelar
3567,Club Atlas,209756,Colombia,72,73,1755,2800000.0,15000.0,L. Jiménez
3568,Panathinaikos FC,212060,Brazil,72,77,1831,4200000.0,1000.0,Luciano
3569,Osmanlıspor,223324,Turkey,72,72,1428,1800000.0,12000.0,N. Çürüksu
3570,Standard de Liège,105308,Belgium,72,72,1199,210000.0,6000.0,J. Gillet
3571,FK Austria Wien,183644,Austria,72,72,1933,3100000.0,17000.0,A. Grünwald
3572,Swansea City,193884,England,72,74,1924,3700000.0,41000.0,S. Clucas
3573,Cremonese,199517,Brazil,72,72,1427,1800000.0,3000.0,Claiton
3574,Aberdeen,156253,England,72,72,1223,2100000.0,5000.0,J. Lewis
3575,Ajax,228702,Netherlands,72,82,1871,5000000.0,7000.0,F. de Jong
3576,AS Nancy Lorraine,183391,Cameroon,72,72,1048,1900000.0,5000.0,G. Ndy Assembe
3577,Eintracht Frankfurt,209504,Sweden,72,78,1729,4300000.0,18000.0,B. Hrgota
3578,Genoa,220513,Italy,72,80,1757,4600000.0,31000.0,F. Ricci
